row,date,cpu00,densityestimate,logdensityestimate
82,2026-06-10T10:16:57,12.04,0.013360382930956564,-1.87418
83,2026-06-10T10:16:58,10.81,0.005550769538725123,-2.25565
84,2026-06-10T10:17:00,9.91,0.014847341730565546,-1.82835
85,2026-06-10T10:17:01,11.21,0.001349738644687119,-2.86975
86,2026-06-10T10:17:02,16.07,0.0018719681954855307,-2.7277
87,2026-06-10T10:17:03,2.94,0.03145017003667496,-1.50238
88,2026-06-10T10:17:04,6.67,0.00264751799418585,-2.57716
89,2026-06-10T10:17:05,8.33,0.008954272351408318,-2.04797
90,2026-06-10T10:17:06,16.81,5.553486865651922e-06,-5.25543
91,2026-06-10T10:17:07,17.70,0.008585228770084684,-2.06625
92,2026-06-10T10:17:08,15.93,0.0021666613799216396,-2.66421
93,2026-06-10T10:17:09,16.67,0.010095384299137256,-1.99588
94,2026-06-10T10:17:10,16.07,0.004510704585739374,-2.34576
95,2026-06-10T10:17:11,15.74,0.00016139875201387979,-3.7921
96,2026-06-10T10:17:12,14.29,0.011164948968765256,-1.95214
97,2026-06-10T10:17:13,13.64,0.007093194029527307,-2.14916
98,2026-06-10T10:17:14,15.04,0.006557429275698019,-2.18327
99,2026-06-10T10:17:15,9.52,0.012882251726858227,-1.89001
100,2026-06-10T10:17:16,15.79,0.004994940179723883,-2.30147
101,2026-06-10T10:17:17,15.93,0.006729830779010414,-2.172
102,2026-06-10T10:17:18,13.51,0.007616959582166833,-2.11822
103,2026-06-10T10:17:19,13.64,0.013731724068257968,-1.86227
104,2026-06-10T10:17:20,13.51,0.014418856620323267,-1.84107
105,2026-06-10T10:17:21,8.65,0.01174591535309909,-1.93011
106,2026-06-10T10:17:22,14.29,0.002555772925096693,-2.59248
107,2026-06-10T10:17:23,15.18,0.009541281256231915,-2.02039
108,2026-06-10T10:17:24,13.51,0.0080568323307184,-2.09384
109,2026-06-10T10:17:25,13.64,0.004267202312404044,-2.36986
110,2026-06-10T10:17:26,12.73,0.002066667715738232,-2.68473
111,2026-06-10T10:17:27,12.04,4.970183920526583e-06,-5.30363
112,2026-06-10T10:17:28,15.04,0.014804687579097748,-1.8296
113,2026-06-10T10:17:29,15.04,0.010045330479157065,-1.99804
114,2026-06-10T10:17:30,14.41,0.006541066687641169,-2.18435
115,2026-06-10T10:17:31,13.51,0.0063953127914142165,-2.19414
116,2026-06-10T10:17:32,12.84,0.008771742523742767,-2.05691
117,2026-06-10T10:17:33,11.11,0.0075428673782608835,-2.12246
118,2026-06-10T10:17:34,15.93,0.0055305721089811185,-2.25723
119,2026-06-10T10:17:35,12.84,0.008440438893410852,-2.07363
120,2026-06-10T10:17:36,13.51,0.008393143638817694,-2.07608
121,2026-06-10T10:17:37,15.04,0.0055676713122858575,-2.25433
122,2026-06-10T10:17:38,13.64,0.010792938162375107,-1.96686
123,2026-06-10T10:17:39,10.28,0.004074385434354,-2.38994
124,2026-06-10T10:17:40,15.18,0.009291814934213743,-2.0319
125,2026-06-10T10:17:41,14.29,0.0013894532368402763,-2.85716
126,2026-06-10T10:17:42,13.64,0.004195533709341783,-2.37721
127,2026-06-10T10:17:43,14.29,0.003113438765679188,-2.50676
128,2026-06-10T10:17:45,14.29,0.009515031454166144,-2.02159
129,2026-06-10T10:17:46,15.93,0.00687301632717171,-2.16285
130,2026-06-10T10:17:47,14.29,0.013811633049876136,-1.85975
131,2026-06-10T10:17:48,14.29,0.006026049141359728,-2.21997
132,2026-06-10T10:17:49,15.79,0.00549710185069584,-2.25987
133,2026-06-10T10:17:50,15.18,0.005050273986382496,-2.29669
134,2026-06-10T10:17:51,11.93,0.00756682003420063,-2.12109
135,2026-06-10T10:17:52,15.04,0.0032647355427273548,-2.48615
136,2026-06-10T10:17:53,15.04,0.008647181499908719,-2.06313
137,2026-06-10T10:17:54,15.18,0.004883984205198007,-2.31123
138,2026-06-10T10:17:55,15.79,0.011548891468419076,-1.93746
139,2026-06-10T10:17:56,15.04,0.006785315526573442,-2.16843
140,2026-06-10T10:17:57,13.64,0.010347883976138974,-1.98515
141,2026-06-10T10:17:58,16.52,0.003978053563171027,-2.40033
142,2026-06-10T10:17:59,14.29,0.013646321413436269,-1.86498
143,2026-06-10T10:18:00,14.29,0.006139860278417788,-2.21184
144,2026-06-10T10:18:01,15.04,0.011052513266173725,-1.95654
145,2026-06-10T10:18:02,15.93,0.011265299138778348,-1.94826
146,2026-06-10T10:18:03,11.93,0.00393485711119691,-2.40507
147,2026-06-10T10:18:04,14.29,0.009795685697856485,-2.00897
148,2026-06-10T10:18:05,13.64,0.00913237330624152,-2.03942
149,2026-06-10T10:18:06,15.04,0.006475715842506511,-2.18871
150,2026-06-10T10:18:07,15.04,0.00538126719461584,-2.26912
151,2026-06-10T10:18:08,15.79,0.00715568152364039,-2.14535
152,2026-06-10T10:18:09,14.41,0.008724414850351737,-2.05926
153,2026-06-10T10:18:10,16.52,0.005956387922720103,-2.22502
154,2026-06-10T10:18:11,14.29,0.009747139939211396,-2.01112
155,2026-06-10T10:18:12,15.79,0.0016494689318655542,-2.78266
156,2026-06-10T10:18:13,15.04,0.011374910261769861,-1.94405
157,2026-06-10T10:18:14,15.18,0.01358928214819055,-1.8668
158,2026-06-10T10:18:15,11.11,0.011231034888802704,-1.94958
159,2026-06-10T10:18:16,14.29,0.010598877587373498,-1.97474
160,2026-06-10T10:18:17,15.04,0.010931746033758086,-1.96131
161,2026-06-10T10:18:18,15.18,0.009689280189728111,-2.01371
162,2026-06-10T10:18:19,11.93,0.01308671371897518,-1.88317
163,2026-06-10T10:18:20,16.52,0.008525390475353367,-2.06929
164,2026-06-10T10:18:21,14.41,0.007628205835850062,-2.11758
165,2026-06-10T10:18:22,14.29,0.01324642083128559,-1.8779
166,2026-06-10T10:18:23,13.51,0.014681472360072905,-1.83323
167,2026-06-10T10:18:24,13.64,0.006863971699024896,-2.16342
168,2026-06-10T10:18:25,13.51,0.005359137159965893,-2.27091
169,2026-06-10T10:18:26,16.52,0.01079751264925675,-1.96668
170,2026-06-10T10:18:27,12.04,0.01367530079829296,-1.86406
171,2026-06-10T10:18:28,12.73,0.011228133663951523,-1.94969
172,2026-06-10T10:18:29,15.79,0.005962087551360898,-2.2246
173,2026-06-10T10:18:30,12.84,0.013100037461870204,-1.88273
174,2026-06-10T10:18:31,15.04,0.012426627182756089,-1.90565
175,2026-06-10T10:18:32,15.04,0.006816489756091023,-2.16644
176,2026-06-10T10:18:33,15.18,0.00014702720786741595,-3.8326
177,2026-06-10T10:18:34,13.51,0.009355937763186982,-2.02891
178,2026-06-10T10:18:35,15.79,0.004667812869473378,-2.33089
179,2026-06-10T10:18:36,14.29,0.012426038381678236,-1.90567
180,2026-06-10T10:18:37,12.73,0.009951855222566352,-2.0021
181,2026-06-10T10:18:38,10.38,0.01568001361180725,-1.80465
182,2026-06-10T10:18:39,15.04,0.008422699472987938,-2.07455
183,2026-06-10T10:18:40,5.88,0.023383390556111255,-1.63109
184,2026-06-10T10:18:41,11.93,0.01480813716668981,-1.8295
185,2026-06-10T10:18:42,14.41,0.006576820045668033,-2.18198
186,2026-06-10T10:18:43,13.51,0.010633960138463922,-1.9733
187,2026-06-10T10:18:44,11.93,0.009619177973341284,-2.01686
188,2026-06-10T10:18:45,15.79,0.008744962494416598,-2.05824
189,2026-06-10T10:18:46,10.38,0.0026079628007922954,-2.5837
190,2026-06-10T10:18:47,10.28,0.005719658481112094,-2.24263
191,2026-06-10T10:18:48,12.73,0.006570949068093705,-2.18237
192,2026-06-10T10:18:49,12.04,0.005403415504075827,-2.26733
193,2026-06-10T10:18:50,11.11,0.010564276119894956,-1.97616
194,2026-06-10T10:18:51,15.04,0.005828992290629632,-2.23441
195,2026-06-10T10:18:52,13.64,0.008983141197234763,-2.04657
196,2026-06-10T10:18:53,10.28,0.010489638363358771,-1.97924
197,2026-06-10T10:18:54,15.79,0.0005597859652939535,-3.25198
198,2026-06-10T10:18:55,12.04,0.009401065192596581,-2.02682
199,2026-06-10T10:18:56,12.73,0.009643750011198169,-2.01575
200,2026-06-10T10:18:57,13.51,0.007508397612043832,-2.12445
201,2026-06-10T10:18:58,15.04,0.010077674049907682,-1.99664
202,2026-06-10T10:18:59,15.18,0.012895709251422622,-1.88955
203,2026-06-10T10:19:00,14.29,0.011049736454396861,-1.95665
204,2026-06-10T10:19:01,14.29,0.009024662696863507,-2.04457
205,2026-06-10T10:19:02,14.41,0.011309405224169374,-1.94656
206,2026-06-10T10:19:03,14.29,0.010040161400906172,-1.99826
207,2026-06-10T10:19:04,11.93,0.013516023194609648,-1.86915
208,2026-06-10T10:19:05,12.73,0.009957855005606918,-2.00183
209,2026-06-10T10:19:06,12.04,0.0046101320985402275,-2.33629
210,2026-06-10T10:19:07,15.04,0.00449793609037503,-2.34699
211,2026-06-10T10:19:08,15.79,0.0038432011231974528,-2.41531
212,2026-06-10T10:19:09,14.29,0.004136312073865251,-2.38339
213,2026-06-10T10:19:10,12.84,0.009242661383860658,-2.0342
214,2026-06-10T10:19:11,13.51,0.005967605514009982,-2.2242
215,2026-06-10T10:19:12,9.00,0.0008609875510042105,-3.065
216,2026-06-10T10:19:13,18.52,1.2804095885086415e-05,-4.89265
217,2026-06-10T10:19:14,17.70,0.0005916263524830374,-3.22795
218,2026-06-10T10:19:15,16.67,0.007048023079829947,-2.15193
219,2026-06-10T10:19:16,15.93,0.009087543087696109,-2.04155
220,2026-06-10T10:19:17,16.36,0.0003849399770724759,-3.41461
221,2026-06-10T10:19:18,16.67,0.011751260921126905,-1.92992
222,2026-06-10T10:19:19,15.18,0.005775163035337216,-2.23844
223,2026-06-10T10:19:20,16.67,0.004452212174151041,-2.35142
224,2026-06-10T10:19:21,15.93,0.00509843744986639,-2.29256
225,2026-06-10T10:19:22,15.74,9.075068136333791e-05,-4.04215
226,2026-06-10T10:19:23,13.51,0.007928398616838524,-2.10081
227,2026-06-10T10:19:24,11.93,0.009081990436083428,-2.04182
228,2026-06-10T10:19:25,15.04,0.011824697848448163,-1.92721
229,2026-06-10T10:19:26,15.93,0.014136548280127127,-1.84966
230,2026-06-10T10:19:27,14.29,0.00708127473635104,-2.14989
231,2026-06-10T10:19:28,15.79,0.015604430085384483,-1.80675
232,2026-06-10T10:19:29,17.27,0.0003264450569493683,-3.48619
233,2026-06-10T10:19:30,15.18,0.004074016056163514,-2.38998
234,2026-06-10T10:19:31,14.41,0.010534911991013007,-1.97737
235,2026-06-10T10:19:32,15.18,0.00779005654002652,-2.10846
236,2026-06-10T10:19:33,15.18,0.01118250392539956,-1.95146
237,2026-06-10T10:19:34,15.93,0.0015554168370934688,-2.80815
238,2026-06-10T10:19:35,15.18,0.010880862247025362,-1.96334
239,2026-06-10T10:19:36,16.67,0.0018078788789508866,-2.74283
240,2026-06-10T10:19:37,15.93,0.00338874055132031,-2.46996
241,2026-06-10T10:19:38,16.81,0.009641068787758209,-2.01587
