row,date,left_speed,right_speed,left_velocity,right_velocity,accel_z,densityestimate,logdensityestimate
54,2026-06-11T11:26:40,35,35,383.607177734375,225.76881408691406,1.0811,1.328544566640719e-06,-5.87662
55,2026-06-11T11:26:41,35,35,365.9249572753906,225.95367431640625,1.0282,8.669990021433136e-06,-5.06198
56,2026-06-11T11:26:42,35,35,355.7613220214844,223.47824096679688,1.0316,2.3748955320021953e-08,-7.62436
57,2026-06-11T11:26:43,35,35,383.9159240722656,233.94876098632812,0.9185,1.2421846990815912e-07,-6.90581
58,2026-06-11T11:26:44,35,35,364.5257263183594,230.69984436035156,1.0431,2.913115149740849e-09,-8.53564
59,2026-06-11T11:26:45,35,35,380.11517333984375,229.06939697265625,0.9968,7.273761682991423e-11,-10.1382
60,2026-06-11T11:26:46,35,35,382.0967102050781,228.4599151611328,1.0471,1.283938882242862e-07,-6.89146
61,2026-06-11T11:26:47,35,35,379.7237548828125,222.42393493652344,1.0230,4.434219085012973e-13,-12.3532
62,2026-06-11T11:26:48,35,35,375.5677490234375,227.73788452148438,0.9254,2.8917641571371682e-08,-7.53884
63,2026-06-11T11:26:49,35,35,380.06842041015625,229.04122924804688,1.0285,1.1354863663488249e-05,-4.94482
64,2026-06-11T11:26:50,35,35,376.09405517578125,223.65060424804688,0.9855,2.489432401103084e-09,-8.6039
65,2026-06-11T11:26:51,35,35,369.9482421875,232.33944702148438,0.9324,2.4032844665021e-07,-6.61919
66,2026-06-11T11:26:52,35,35,363.5748291015625,223.35311889648438,1.0832,8.407407072480855e-12,-11.0753
67,2026-06-11T11:26:53,35,35,368.27337646484375,211.58253479003906,0.9669,4.6848674352746785e-08,-7.3293
68,2026-06-11T11:26:54,35,35,364.55084228515625,209.31626892089844,1.0684,5.702177178274721e-18,-17.244
69,2026-06-11T11:26:55,35,35,356.7495422363281,234.83514404296875,1.0269,2.9954085393021682e-05,-4.52354
70,2026-06-11T11:26:56,35,35,351.7897644042969,215.4837646484375,0.9964,2.526752477423722e-08,-7.59744
71,2026-06-11T11:26:57,35,35,354.9858093261719,222.36471557617188,0.9546,4.68334098322274e-08,-7.32944
72,2026-06-11T11:26:58,35,35,353.9013977050781,224.57199096679688,1.0302,4.977011557518295e-16,-15.303
73,2026-06-11T11:26:59,35,35,359.4026794433594,212.64657592773438,1.0543,2.3318510091863157e-05,-4.6323
74,2026-06-11T11:27:00,35,35,359.9557189941406,210.9740447998047,1.0591,5.248127164273265e-06,-5.28
75,2026-06-11T11:27:01,35,35,368.39862060546875,218.2361297607422,0.9428,2.97330217761311e-10,-9.52676
76,2026-06-11T11:27:02,35,35,356.50732421875,213.7046661376953,1.0306,1.367455420049955e-07,-6.86409
77,2026-06-11T11:27:03,35,35,355.2458190917969,218.1509552001953,1.0484,8.407078849815928e-11,-10.0754
78,2026-06-11T11:27:04,35,35,324.8369445800781,221.88861083984375,0.9104,3.131271348833656e-06,-5.50428
79,2026-06-11T11:27:05,35,35,348.05950927734375,213.03643798828125,0.9555,3.885440312010931e-06,-5.41056
80,2026-06-11T11:27:06,35,35,360.0509948730469,215.62942504882812,1.0008,2.473283971496943e-07,-6.60673
81,2026-06-11T11:27:07,35,35,389.9595642089844,230.3853302001953,1.0035,1.3910148652669146e-06,-5.85667
82,2026-06-11T11:27:08,35,35,380.92449951171875,235.5717315673828,1.0813,4.2648693870039605e-08,-7.37009
83,2026-06-11T11:27:09,35,35,384.8719482421875,239.29861450195312,1.0741,6.460979470401416e-06,-5.1897
84,2026-06-11T11:27:10,35,35,382.63018798828125,238.39263916015625,1.0249,3.844232166515914e-09,-8.41519
85,2026-06-11T11:27:11,35,35,372.2956237792969,239.54678344726562,1.0874,3.2196132689448495e-06,-5.4922
